year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1965,1,2000,,1500000,,1500000,
1969,1,,,1700000,,1700000,1000
1973,1,100000,,3000000,,3000000,76000
1983,1,300000,,7750000,,7750000,
1987,1,367,,7000000,,7000000,
1989,1,,,6500000,,6500000,
1997,1,,,986200,,986200,
1998,1,,,,,,15600
1999,1,,,4900000,,4900000,
2003,1,,,12600000,,12600000,
2005,1,,,2600000,,2600000,
2008,1,,,6400000,,6400000,
2009,1,,,6200000,,6200000,
2011,1,,,4805679,,4805679,
2012,1,,,1000000,,1000000,
2015,1,,,10200000,,10200000,1400000
,,,,,,,
,,,,,,,
"Created on: April 27, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
