year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1971,3,,,562000,,562000,2100
1977,1,,,,,,
1978,1,,,500000,,500000,
1983,5,,,12500000,,12500000,
1984,1,,,300000,,300000,
1989,1,,,400000,,400000,
1990,1,,,186900,,186900,
2001,1,,,,,,
2005,1,,,,,,
2012,1,,,12000,,12000,
,,,,,,,
,,,,,,,
"Created on: May 07, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
