,drought,sst
12,30,0.4412594437599182
13,32,0.2207438051700592
14,30,-0.04370849207043648
15,30,-0.822738528251648
16,10,-0.5026321411132812
17,16,-0.18153297901153564
18,17,-0.1510348618030548
19,13,-0.27640968561172485
20,23,0.04484873265028
21,19,0.23771557211875916
22,46,0.16315248608589172
23,55,0.26334941387176514
24,52,0.2685946822166443
25,34,0.06588145345449448
26,48,-0.39421239495277405
27,40,-0.9975936412811279
28,44,-1.2418149709701538
29,18,-1.1983524560928345
30,26,-1.0646822452545166
31,32,-1.287598967552185
32,32,-1.1128329038619995
33,33,-0.7559969425201416
34,43,-0.55610591173172
35,54,-0.2853815257549286
36,51,-0.24152955412864685
37,78,-0.31601616740226746
38,87,-0.08918420970439911
39,98,0.1352662891149521
40,65,-0.11551595479249954
41,79,-0.17410700023174286
42,85,-0.4193281829357147
43,101,-0.2852550745010376
44,89,-0.042071711272001266
45,78,0.012364515103399754
46,81,0.07122700661420822
47,79,0.23824921250343323
48,93,0.4684799611568451
49,103,0.17274075746536255
50,106,0.021704811602830887
51,38,0.030553147196769714
52,52,0.292898952960968
53,58,0.30126893520355225
54,70,-0.10675543546676636
55,39,-0.40854036808013916
56,38,-0.41017019748687744
57,27,-0.378525048494339
58,29,-0.1520165354013443
59,34,-0.20000436902046204
60,34,-0.6194542050361633
61,30,-0.8505962491035461
62,26,-0.6814903616905212
63,25,-0.906876266002655
64,35,-1.0921138525009155
65,25,-0.9327989816665649
66,22,-1.0199143886566162
67,72,-1.0669382810592651
68,75,-0.5567948222160339
69,90,-0.3574090600013733
70,64,-0.48629072308540344
71,57,-0.22955769300460815
72,55,0.012263554148375988
73,54,-0.08787856251001358
74,57,0.0808548629283905
75,63,0.5398972034454346
76,68,0.775258481502533
77,51,0.7974992990493774
78,56,0.5045757293701172
79,57,0.9423567056655884
80,57,1.3787428140640259
81,54,1.6937646865844727
82,63,1.53141188621521
83,69,1.6968817710876465
84,74,2.0221214294433594
85,83,2.061142683029175
86,93,1.8554819822311401
87,107,1.6350427865982056
88,117,1.746688961982727
89,108,1.4952964782714844
90,78,0.9249076247215271
91,101,0.493482381105423
92,153,-0.2007276713848114
93,146,-0.6135812997817993
94,182,-0.7743088006973267
95,187,-0.6412588953971863
96,175,-0.6243687868118286
97,165,-0.4415336847305298
98,164,-0.48577889800071716
99,136,-0.7794392704963684
100,77,-1.3079437017440796
101,76,-1.4861068725585938
102,94,-1.1465108394622803
103,88,-0.9709034562110901
104,31,-0.7772259712219238
105,44,-0.9134736061096191
106,35,-1.0926331281661987
107,42,-1.261970043182373
108,51,-1.2030805349349976
109,58,-1.2093802690505981
110,49,-1.6033189296722412
111,59,-1.8626893758773804
112,78,-1.6632874011993408
113,108,-1.648381233215332
114,86,-1.3804408311843872
115,98,-1.187827706336975
116,123,-1.0562424659729004
117,117,-0.8724315166473389
118,108,-0.7240637540817261
119,106,-0.6137294769287109
120,91,-0.7415748238563538
121,95,-0.6497902274131775
122,100,-0.7987205982208252
123,81,-0.8435639142990112
124,94,-0.9017658233642578
125,45,-0.5490599870681763
126,52,-0.13935784995555878
127,68,0.09824217110872269
128,74,0.19296866655349731
129,83,0.33397239446640015
130,71,0.6885352730751038
131,64,0.6931906342506409
132,68,0.8832988739013672
133,57,1.1075400114059448
134,51,1.4682648181915283
135,99,0.9938928484916687
136,93,1.2096821069717407
137,159,1.4332364797592163
138,150,1.7522767782211304
139,57,1.7521452903747559
140,35,1.9312472343444824
141,12,1.3174701929092407
142,7,1.1101224422454834
143,16,0.9431242942810059
144,18,0.974372148513794
145,18,0.6112155318260193
146,23,0.4580880403518677
147,2,-0.15827366709709167
148,6,-1.1137361526489258
149,5,-1.8979268074035645
150,4,-2.027484178543091
151,1,-1.4241843223571777
152,9,-1.29621422290802
153,30,-1.6947929859161377
154,44,-1.6372147798538208
155,33,-1.5672765970230103
156,14,-1.7387800216674805
157,10,-1.7320863008499146
158,4,-1.9507474899291992
159,7,-1.7358100414276123
160,12,-1.4239033460617065
161,16,-1.0694360733032227
162,14,-1.0565719604492188
163,3,-1.0062206983566284
164,4,-0.6875321269035339
165,2,-0.6367539167404175
166,12,-0.4886523187160492
167,11,-0.2414139211177826
168,21,-0.0863201841711998
169,23,0.34034910798072815
170,43,0.0020097850356251
171,33,0.160590261220932
172,52,0.2156587541103363
173,47,-0.020741056650877
174,41,0.1722380816936493
175,32,0.21948470175266266
176,44,0.13293863832950592
177,64,0.07107111066579819
178,73,0.04496622830629349
179,87,0.20173300802707672
180,76,0.5313881635665894
181,71,0.42380768060684204
