year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1959,1,51,,,,,
1967,1,,,50000,,50000,180000
1968,1,,,,,,30000
1971,1,500,,500000,,500000,
1972,1,,,1000,,1000,50
1974,1,26,,,,,
1975,2,1,,75000,,75000,
1977,2,304,,401000,40000,441000,55500
1978,3,77,900,230000,,230900,63200
1981,2,104,,500000,185,500185,1000
1985,2,8,,580000,,580000,500
1987,2,524,,165000,,165000,765305
1988,2,33,7,12000,,12007,
1989,3,2,,900000,,900000,
1990,1,22,,,,,
1993,1,12,,,15000,15000,
1994,1,,,11000,,11000,
1995,2,227,,8000,2000,10000,10000
1996,2,34,30,7000,500,7530,6860
1997,2,35,7,400300,,400307,
1998,2,36,,1300000,,1300000,20700
1999,3,50,,72300,,72300,32000
2000,12,1012,11,4896776,107200,5003987,667100
2001,8,159,17,1479810,,1479827,39600
2002,3,24,,2500,500,3000,
2003,10,62,3,545500,11825,557328,200000
2004,8,30,13,558345,16700,575058,
2005,4,16,12,42825,19000,61837,
2006,5,17,,9460,225,9685,224490
2007,13,207,,2062056,9500,2071556,171000
2008,5,89,,168900,,168900,1264
2009,10,199,,1216695,5065,1221760,
2010,7,38,31,239895,78875,318801,
2011,13,315,321,860905,100,861326,223000
2012,2,13,,125650,,125650,200000
2013,7,282,76,347120,,347196,30000
2014,5,51,2,9985,20000,29987,105000
2015,4,235,,180645,2000,182645,
2016,8,189,,183844,5155,188999,280000
2017,4,14,,32452,3750,36202,2000
2018,3,19,,7225,77150,84375,5100
2019,11,214,66,126295,4535,130896,50000
,,,,,,,
,,,,,,,
"Created on: May 20, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
