year,occurrence,Total deaths,Injured,Affected,Homeless,Total affected,Total damage  ('000 US$)
1950,1,52,,,,,
1951,1,225,,,,,
1953,2,732,,,,,
1954,3,2000,,,,,50000
1955,1,440,,,,,
1956,1,1000,,,,,
1957,1,122,,,,,
1963,1,25,,,,,
1964,1,20,,1000,,1000,
1965,1,8,,500,,500,1000
1966,2,301,162,3200,2500,5862,1400
1967,2,,,240000,60000,300000,10000
1968,2,30,,150000,,150000,3000
1969,1,20,,,,,
1974,1,,,130000,75000,205000,39000
1975,1,15,,,,,
1979,1,50,,66000,,66000,14000
1980,2,256,,800100,150000,950100,
1981,1,58,,100,,100,
1985,1,32,,,5000,5000,450000
1986,2,265,,40000,,40000,1591000
1987,8,874,29,1500,,1529,10000
1988,1,90,,150000,,150000,150000
1989,1,,,150000,,150000,2000
1990,1,,,,,,77400
1991,7,65,22,218000,45200,263222,433400
1992,2,63,,32500,2500,35000,3469400
1993,4,812,3,493725,26500,520228,1227800
1994,4,639,,205660,50000,255660,282000
1995,5,34,11,6000,3250,9261,138100
1996,6,406,,131260,116210,247470,1246930
1997,6,36,,1600,,1600,67000
1998,6,227,24,44816,16000,60840,148500
1999,5,81,124,37500,7500,45124,43000
2000,3,10,,400,,400,6000
2001,5,509,284,1205250,,1205534,103800
2002,10,151,70,201060,4940,206070,63060
2003,5,27,50,30000,1370,31420,838
2004,4,45,83,8400,4000,12483,
2005,8,194,23,3265,2250,5538,
2006,6,70,40,62690,2300,65030,17300
2007,4,105,18,2600,,2618,22000
2008,4,116,144,26400,600,27144,400000
2009,2,163,,3000,10000,13000,900000
2010,7,75,2,3585,1000,4587,
2011,2,17,1,,2000,2001,300000
2012,3,30,,1000,,1000,
2013,5,106,10,52103,,52113,
2014,1,37,,440000,,440000,49000
2015,8,133,30,89400,2000,91430,638000
2016,4,43,,30665,,30665,
2017,6,117,8,2869,,2877,388000
2018,7,77,209,33490,,33699,176000
2019,12,143,1137,10342272,,10343409,2587100
2020,1,2,12,196140,,196152,100000
,,,,,,,
,,,,,,,
"Created on: May 20, 2020",,,,,,,
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium",,,,,,,
